Mélység [m↓₊],Azimuth [°↻⁺],Sebesség [m/s]
0.25,173.4283075,1.628883627
0.25,177.2970845,1.600058365
0.25,173.0155308,1.111473372
0.25,176.4591557,1.334236565
0.25,176.0744759,1.290615865
0.25,177.4365459,1.42175301
0.25,174.6528035,1.051167461
0.25,170.3067554,1.666907229
0.25,173.939195,1.384204066
0.25,181.7998417,1.403630725
0.25,173.7430824,1.001843754
0.25,175.0486584,1.453917331
0.25,175.6952678,1.102420967
0.25,173.2489992,1.57475417
0.25,174.0689296,1.204764958
0.25,180.3960631,1.181940444
0.25,174.1532053,1.240024611
0.25,170.593671,1.03229852
0.25,172.1529457,1.457667281
0.25,177.8856231,1.3348974
0.25,180.2631429,1.349217356
0.25,169.0761769,1.619389665
0.25,177.1755266,1.572540973
0.25,171.2687305,1.254707952
0.25,176.3362943,1.292512167
0.25,177.0911198,1.512236701
0.25,179.7436716,1.561053725
0.25,180.8810571,1.77447299
0.25,178.4704827,1.4838739
0.25,177.2136693,1.404333912
0.25,174.1273521,1.464477354
0.25,175.195666,1.297920546
0.25,174.6226649,1.658442078
0.25,177.6575564,1.695563091
0.25,180.1126495,1.636501968
0.25,177.794363,1.491861951
0.25,176.6658315,1.117393884
0.25,175.5463942,1.213075355
0.25,179.4618683,1.442378203
0.25,177.2607749,1.88438945
0.25,173.5612317,1.523692476
0.25,175.7969302,1.221899396
0.25,175.9312093,1.276786069
0.25,174.3700394,1.466096719
0.25,180.7015359,1.299074484
0.25,175.7169988,1.248186484
0.25,175.6346381,1.552786563
0.25,174.7694625,1.394375023
0.25,176.0064937,1.405148138
0.25,180.2604083,1.225062875
0.25,172.2284837,1.203644475
0.25,175.5137978,1.434429369
0.25,173.9727183,1.325957519
0.25,182.6864374,1.478260771
0.25,170.3212056,1.054834158
0.25,172.4729495,1.49710257
0.25,175.2539782,1.623615118
0.25,180.5322144,1.504203089
0.25,170.5505541,1.247655862
0.25,175.7888001,1.242797776
0.25,174.6323115,1.443084285
0.25,179.4985241,1.668636836
0.25,175.8715502,1.44208707
0.25,179.078399,1.413676296
0.25,173.9744737,1.362397547
0.25,173.4135406,1.01673355
0.25,176.1705269,1.536391322
0.25,178.0104888,1.791910875
0.25,178.2595893,1.430275095
0.25,174.5852426,2.054035291
0.25,176.4642549,1.509600582
0.25,173.8282958,1.302503432
0.25,176.9908652,1.249156472
0.25,175.4378895,1.614907153
0.25,171.378995,1.026365065
0.25,176.5382652,1.394705771
0.25,173.1492132,1.199514424
0.25,174.8290408,1.629867043
0.25,168.9586204,1.313499479
0.25,175.5021684,0.993674643
0.25,175.455398,0.775291481
0.25,178.9905981,1.597945462
0.25,177.7974132,1.262054597
0.25,173.2797821,1.376808081
0.25,175.5704204,1.443960462
0.25,177.1114673,1.561787142
0.25,175.9828893,1.461182237
0.25,178.9082342,1.570479204
0.25,176.0579697,1.706130655
0.25,174.598482,1.70800589
0.25,179.0589677,1.350471138
0.25,173.1639653,0.9383083
0.25,172.7240111,1.308115092
0.25,180.245898,1.020299368
0.25,180.9693226,1.654190216
0.25,172.9401668,1.625136719
0.25,174.2684605,1.337028341
0.25,175.6277544,1.235010822
0.25,174.215436,1.500360171
0.25,173.2321013,1.881279706
0.25,171.5721958,1.177865494
0.25,175.7274705,1.340712726
0.25,176.7682574,1.238633417
0.25,179.2502007,1.408252373
0.25,180.8116215,1.514623096
0.25,173.8390421,1.244683308
0.25,172.4857889,1.683074186
