ID,Érdemjegy,Csoport,Nem,Képzés
1,0,2,Y,PT
2,0,2,Y,GI
3,1,2,X,PT
4,2,2,Y,GI
5,5,2,X,GI
6,2,2,Y,GI
7,3,2,Y,GI
8,4,2,Y,GI
9,0,2,Y,GI
10,1,2,X,PT
11,2,2,Y,PT
12,1,2,Y,PT
13,4,2,X,GI
14,5,2,Y,PT
15,1,2,Y,PT
16,0,2,Y,PT
17,0,2,Y,PT
18,0,2,Y,PT
19,5,2,Y,PT
20,2,2,Y,GI
21,5,2,Y,PT
22,5,2,Y,GI
23,0,2,Y,PT
24,2,2,Y,GI
25,2,2,Y,GI
26,0,2,X,PT
27,2,2,X,GI
28,5,2,Y,PT
29,2,2,Y,PT
30,0,2,Y,GI
31,5,2,Y,PT
32,3,2,Y,PT
33,3,2,Y,PT
34,5,2,X,GI
35,2,2,Y,PT
36,5,2,Y,GI
37,2,2,Y,GI
38,5,2,Y,PT
39,2,2,Y,GI
40,2,2,Y,PT
41,5,4,Y,PT
42,5,4,Y,PT
43,5,4,Y,GI
44,5,4,Y,PT
45,5,4,X,PT
46,4,4,Y,PT
47,2,4,X,PT
48,5,4,Y,PT
49,5,4,Y,PT
50,2,4,Y,PT
51,5,4,Y,PT
52,5,4,X,GI
53,5,4,X,PT
54,2,4,Y,PT
55,3,4,Y,PT
56,5,4,Y,PT
57,0,4,X,PT
58,0,4,Y,GI
59,3,4,Y,PT
60,2,4,Y,GI
61,5,4,Y,PT
62,0,4,Y,PT
63,1,4,Y,PT
64,4,4,Y,PT
65,2,4,Y,PT
66,0,4,Y,PT
67,5,4,Y,PT
68,2,4,X,GI
69,5,4,Y,PT
70,5,4,Y,GI
71,5,4,Y,GI
72,5,4,Y,PT
73,5,4,Y,PT
74,5,4,Y,PT
75,0,4,Y,GI
76,0,4,Y,PT
77,5,4,Y,GI
