Reptér neve,Település,Ország,Azonosító,Szélesség,Hosszúság
Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689835,145.3919983
Madang Airport,Madang,Papua New Guinea,MAG,-5.207079887,145.7890015
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789856,144.2960052
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380356,147.2200012
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.583830118,143.6690063
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.16049957,-45.42599869
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.67810059
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122219,-50.71160316
Thule Air Base,Thule,Greenland,THU,76.53119659,-68.70320129
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366,-18.0727005
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.28330231,-14.40139961
Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809784,-23.13529968
Keflavik International Airport,Keflavik,Iceland,KEF,63.98500061,-22.60560036
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
Reykjavik Airport,Reykjavik,Iceland,RKV,64.12999725,-21.94059944
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430115,-20.27890015
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061,-84.50939941
St. Anthony Airport,St. Anthony,Canada,YAY,51.39189911,-56.08309937
Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969,-68.20439911
CFB Bagotville,Bagotville,Canada,YBG,48.33060074,-70.99639893
Baker Lake Airport,Baker Lake,Canada,YBK,64.29889679,-96.07779694
Campbell River Airport,Campbell River,Canada,YBL,49.95080185,-125.2710037
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.10810089,-105.1380005
Nanaimo Airport,Nanaimo,Canada,YCD,49.05497022,-123.8698626
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.29639816,-117.6320038
Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997
Coronation Airport,Coronation,Canada,YCT,52.07500076,-111.4449997
Chilliwack Airport,Chilliwack,Canada,YCW,49.15280151,-121.939003
Clyde River Airport,Clyde River,Canada,YCY,70.48609924,-68.51670074
Coral Harbour Airport,Coral Harbour,Canada,YZS,64.19329834,-83.35939789
Dawson City Airport,Dawson,Canada,YDA,64.04309845,-139.128006
Burwash Airport,Burwash,Canada,YDB,61.37110138,-139.0410004
Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017,-57.39139938
Dease Lake Airport,Dease Lake,Canada,YDL,58.42219925,-130.0319977
Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956,-100.052002
Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.74229813,-120.1829987
Edmonton International Airport,Edmonton,Canada,YEG,53.30970001,-113.5800018
Arviat Airport,Eskimo Point,Canada,YEK,61.09420013,-94.07080078
Estevan Airport,Estevan,Canada,YEN,49.21030045,-102.9660034
Edson Airport,Edson,Canada,YET,53.57889938,-116.4649963
Eureka Airport,Eureka,Canada,YEU,79.99469757,-85.81420136
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419922,-133.4830017
Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801
Fredericton Airport,Fredericton,Canada,YFC,45.8689003,-66.53720093
Forestville Airport,Forestville,Canada,YFE,48.74610138,-69.09719849
Flin Flon Airport,Flin Flon,Canada,YFO,54.67810059,-101.6819992
Fort Resolution Airport,Fort Resolution,Canada,YFR,61.18080139,-113.6900024
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.7602005,-121.2369995
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529984,-76.59690094
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.62530136,-77.70420074
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.77529907,-64.47859955
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830124,-86.93939972
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169,-61.77809906
Hudson Bay Airport,Hudson Bay,Canada,YHB,52.81669998,-102.310997
Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212,-117.8059998
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.63559723,-95.84970093
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.17359924,-79.93499756
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.51750183,-73.41690063
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.83969879,-115.7829971
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.88079834,-63.50859833
Atikokan Municipal Airport,Atikokan,Canada,YIB,48.77389908,-91.63860321
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962,-77.96669769
St Jean Airport,St. Jean,Canada,YJN,45.29439926,-73.28109741
Stephenville Airport,Stephenville,Canada,YJT,48.5442009,-58.54999924
Kamloops Airport,Kamloops,Canada,YKA,50.70220184,-120.4440002
Waterloo Airport,Waterloo,Canada,YKF,43.46080017,-80.37860107
Schefferville Airport,Schefferville,Canada,YKL,54.80530167,-66.80529785
Kindersley Airport,Kindersley,Canada,YKY,51.51750183,-109.1809998
Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169,-79.37000275
Chapleau Airport,Chapleau,Canada,YLD,47.81999969,-83.34670258
Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.12530136,-108.5230026
Lloydminster Airport,Lloydminster,Canada,YLL,53.30920029,-110.072998
Alert Airport,Alert,Canada,YLT,82.51779938,-62.2806015
Kelowna International Airport,Kelowna,Canada,YLW,49.95610046,-119.3779984
Mayo Airport,Mayo,Canada,YMA,63.61640167,-135.8679962
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.33029938,-105.5589981
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.65330124,-111.2220001
Moosonee Airport,Moosonee,Canada,YMO,51.29109955,-80.60780334
Maniwaki Airport,Maniwaki,Canada,YMW,46.27280045,-75.99060059
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696
Natashquan Airport,Natashquan,Canada,YNA,50.18999863,-61.78919983
Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.52170181,-75.56359863
Matagami Airport,Matagami,Canada,YNM,49.76169968,-77.80280304
Old Crow Airport,Old Crow,Canada,YOC,67.57060242,-139.8390045
CFB Cold Lake,Cold Lake,Canada,YOD,54.40499878,-110.2789993
High Level Airport,High Level,Canada,YOJ,58.62139893,-117.1650009
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.32249832,-75.66919708
Prince Albert Glass Field,Prince Albert,Canada,YPA,53.21419907,-105.6729965
Peace River Airport,Peace River,Canada,YPE,56.226898,-117.446999
Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
Pickle Lake Airport,Pickle Lake,Canada,YPL,51.44639969,-90.21420288
Port Menier Airport,Port Menier,Canada,YPN,49.83639908,-64.28859711
Peterborough Airport,Peterborough,Canada,YPQ,44.22999954,-78.36329651
Prince Rupert Airport,Prince Pupert,Canada,YPR,54.28609848,-130.4450073
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.76720047,-111.1169968
Muskoka Airport,Muskoka,Canada,YQA,44.97470093,-79.30329895
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220139,-113.8939972
Windsor Airport,Windsor,Canada,YQG,42.27560043,-82.95559692
Watson Lake Airport,Watson Lake,Canada,YQH,60.11640167,-128.8220062
Kenora Airport,Kenora,Canada,YQK,49.78829956,-94.36309814
Lethbridge County Airport,Lethbridge,Canada,YQL,49.63029861,-112.8000031
Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169,-64.6785965
Comox Airport,Comox,Canada,YQQ,49.71080017,-124.887001
Regina International Airport,Regina,Canada,YQR,50.43190002,-104.6660004
Thunder Bay Airport,Thunder Bay,Canada,YQT,48.37189865,-89.32389832
Grande Prairie Airport,Grande Prairie,Canada,YQU,55.17969894,-118.8850021
Yorkton Municipal Airport,Yorkton,Canada,YQV,51.26470184,-102.461998
North Battleford Airport,North Battleford,Canada,YQW,52.76919937,-108.2440033
Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1614,-60.047798
Quesnel Airport,Quesnel,Canada,YQZ,53.02610016,-122.5100021
Resolute Bay Airport,Resolute,Canada,YRB,74.71690369,-94.9693985
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.76440048,-69.58470154
Roberval Airport,Roberval,Canada,YRJ,48.52000046,-72.26560211
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.42969894,-114.9039993
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.81140137,-92.11579895
Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.79889679
Sherbrooke Airport,Sherbrooke,Canada,YSC,45.43859863,-71.69139862
Saint John Airport,St. John,Canada,YSJ,45.31610107,-65.89029694
Fort Smith Airport,Fort Smith,Canada,YSM,60.02030182,-111.961998
Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602
Summerside Airport,Summerside,Canada,YSU,46.44060135,-63.83359909
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.99389648,-125.2429962
Cape Dorset Airport,Cape Dorset,Canada,YTE,64.23000336,-76.52670288
Thompson Airport,Thompson,Canada,YTH,55.80110168,-97.86419678
CFB Trenton,Trenton,Canada,YTR,44.1189003,-77.52809906
Timmins/Victor M. Power,Timmins,Canada,YTS,48.56969833,-81.37670136
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.4332962,-133.026001
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895
Repulse Bay Airport,Repulse Bay,Canada,YUT,66.52140045,-86.22470093
Hall Beach Airport,Hall Beach,Canada,YUX,68.77610016,-81.2425
Rouyn Noranda Airport,Rouyn,Canada,YUY,48.20610046,-78.83560181
La Ronge Airport,La Ronge,Canada,YVC,55.15140152,-105.262001
Vermilion Airport,Vermillion,Canada,YVG,53.35580063,-110.8239975
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.54579926,-64.03140259
Val-d'Or Airport,Val D'or,Canada,YVO,48.05329895,-77.78279877
Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.09609985,-68.42690277
Norman Wells Airport,Norman Wells,Canada,YVQ,65.28160095,-126.7979965
Vancouver International Airport,Vancouver,Canada,YVR,49.19390106,-123.1839981
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.84189987,-108.4179993
Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201
Petawawa Airport,Petawawa,Canada,YWA,45.95220184,-77.31919861
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.90999985,-97.23989868
Wabush Airport,Wabush,Canada,YWK,52.9219017,-66.86440277
Williams Lake Airport,Williams Lake,Canada,YWL,52.18310165,-122.0540009
Wrigley Airport,Wrigley,Canada,YWY,63.20940018,-123.4369965
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.6108017,-115.7819977
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.57249832,-113.5210037
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.17079926,-106.6999969
Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182,-110.7210007
Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814,-120.7399979
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.11389923,-91.90529633
Pangnirtung Airport,Pangnirtung,Canada,YXP,66.14499664,-65.71360016
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.69740065,-79.84734535
Prince George Airport,Prince George,Canada,YXS,53.88940048,-122.6790009
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
London Airport,London,Canada,YXU,43.035599,-81.1539
Abbotsford Airport,Abbotsford,Canada,YXX,49.02529907,-122.3610001
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.70959854,-135.0670013
North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798
Calgary International Airport,Calgary,Canada,YYC,51.11389923,-114.0199966
Smithers Airport,Smithers,Canada,YYD,54.8246994,-127.1829987
Fort Nelson Airport,Fort Nelson,Canada,YYE,58.83639908,-122.5970001
Penticton Airport,Penticton,Canada,YYF,49.46310043,-119.6019974
Charlottetown Airport,Charlottetown,Canada,YYG,46.29000092,-63.12110138
Taloyoak Airport,Spence Bay,Canada,YYH,69.54669952,-93.5766983
Victoria International Airport,Victoria,Canada,YYJ,48.64690018,-123.4260025
Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923,-101.0759964
Swift Current Airport,Swift Current,Canada,YYN,50.29190063,-107.6910019
Churchill Airport,Churchill,Canada,YYQ,58.73920059,-94.06500244
Goose Bay Airport,Goose Bay,Canada,YYR,53.31919861,-60.42580032
St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972
Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389847,-82.46749878
Armstrong Airport,Armstrong,Canada,YYW,50.29029846,-88.90969849
Mont Joli Airport,Mont Joli,Canada,YYY,48.60860062,-68.20809937
Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998
Downsview Airport,Toronto,Canada,YZD,43.74250031,-79.46559906
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968,-82.56780243
Yellowknife Airport,Yellowknife,Canada,YZF,62.46279907,-114.4400024
Slave Lake Airport,Slave Lake,Canada,YZH,55.29309845,-114.7770004
Sandspit Airport,Sandspit,Canada,YZP,53.25429916,-131.8139954
