Ev,Ho,Nap,Ora,Perc,Ws,Wd
2022,12,1,0,0,1.5,54
2022,12,1,0,1,2.2,53
2022,12,1,0,2,2.1,49
2022,12,1,0,3,2.2,74
2022,12,1,0,4,2.3,79
2022,12,1,0,5,2.3,61
2022,12,1,0,6,3,61
2022,12,1,0,7,2.7,64
2022,12,1,0,8,2.6,63
2022,12,1,0,9,4,56
2022,12,1,0,10,4.3,66
2022,12,1,0,11,3,65
2022,12,1,0,12,3.5,65
2022,12,1,0,13,3.8,66
2022,12,1,0,14,4.5,55
2022,12,1,0,15,3.6,73
2022,12,1,0,16,3.9,60
2022,12,1,0,17,4.4,57
2022,12,1,0,18,2.4,57
2022,12,1,0,19,2.6,79
2022,12,1,0,20,3.6,65
2022,12,1,0,21,4.1,61
2022,12,1,0,22,4.2,63
2022,12,1,0,23,3.8,57
2022,12,1,0,24,4.1,58
2022,12,1,0,25,4.3,72
2022,12,1,0,26,3,61
2022,12,1,0,27,4.4,64
2022,12,1,0,28,2,63
2022,12,1,0,29,2.3,58
2022,12,1,0,30,3.6,61
2022,12,1,0,31,3.9,63
2022,12,1,0,32,3.2,59
2022,12,1,0,33,3,
2022,12,1,0,34,3.4,57
2022,12,1,0,35,2,67
2022,12,1,0,36,2.1,64
2022,12,1,0,37,2,65
2022,12,1,0,38,2.7,58
2022,12,1,0,39,4.3,66
2022,12,1,0,40,3.2,68
2022,12,1,0,41,2.7,73
2022,12,1,0,42,2.8,77
2022,12,1,0,43,2.5,64
2022,12,1,0,44,1.9,80
2022,12,1,0,45,2.4,66
2022,12,1,0,46,3.8,66
2022,12,1,0,47,1.8,73
2022,12,1,0,48,2.4,54
2022,12,1,0,49,3.6,72
2022,12,1,0,50,2.3,89
2022,12,1,0,51,2,72
2022,12,1,0,52,2.7,52
2022,12,1,0,53,2.8,55
2022,12,1,0,54,2,67
2022,12,1,0,55,2.9,76
2022,12,1,0,56,2.5,62
2022,12,1,0,57,2.1,67
2022,12,1,0,58,2.4,63
2022,12,1,0,59,2.4,60
2022,12,1,1,0,3.7,56
2022,12,1,1,1,3.2,50
2022,12,1,1,2,3.4,59
2022,12,1,1,3,2.5,63
2022,12,1,1,4,1.9,64
2022,12,1,1,5,2.4,54
2022,12,1,1,6,2.6,54
2022,12,1,1,7,3.4,58
2022,12,1,1,8,3.3,66
2022,12,1,1,9,1.9,80
2022,12,1,1,10,2.8,67
2022,12,1,1,11,2.7,70
2022,12,1,1,12,3.5,68
2022,12,1,1,13,3.4,61
2022,12,1,1,14,3.6,72
2022,12,1,1,15,2.2,58
2022,12,1,1,16,3.8,57
2022,12,1,1,17,3.2,66
2022,12,1,1,18,2.6,58
2022,12,1,1,19,2.6,62
2022,12,1,1,20,4.3,60
2022,12,1,1,21,3.3,80
2022,12,1,1,22,2.9,60
